Job Title,Salary,Company,Date,Location,Category
Бариста,"60,000 ₮",хувь хүн,2024-11-08 11:57,River Garden,"Pесторан, кафе, паб"
Restaurant zооgch,"65,000 ₮",хувь хүн,2024-11-08 11:53,King Tower,"Pесторан, кафе, паб"
Үйлдвэрийн дамжлагын ажилтан / махны үйлдвэр /,"1,500,000 ₮",хувь хүн,2024-11-08 11:53,5 шар,Үйлдвэрлэл
Шүдний сувилагч,"1,000,000 ₮",хувь хүн,2024-11-08 11:53,Бөхийн Өргөө,"Эрүүл мэнд, эм зүй"
Хүний нөөцийн менежер,"1,500,000 ₮",хувь хүн,2024-11-08 11:53,Баянбүрд,"Захиргаа, Хүний нөөц"
Ээлжээр ажиллах угаагч,"1,500,000 ₮",Гранд Принц ХХК,2024-11-08 11:51,Хороо 26,"Pесторан, кафе, паб"
Хятад хоолны ресторанд туслах тогооч,"1,500,000 ₮",Гранд Принц ХХК,2024-11-08 11:50,Зайсан,"Pесторан, кафе, паб"
Түгээлтийн жолооч-с,"2,300,000 ₮",хувь хүн,2024-11-08 11:49,Хороо 20,"Борлуулалт, худалдаа"
Тавилгийн үйлдвэрт мужаан,"3,000,000 ₮",хувь хүн,2024-11-08 11:47,Хороо 9,Үйлдвэрлэл
Цайны газарт угаагч,"70,000 ₮",хувь хүн,2024-11-08 11:47,Marshall town,"Pесторан, кафе, паб"
Түгээлтийн ачигч,"1,450,000 ₮",Брикланд ХХК,2024-11-08 11:46,Алтай хотхон,Туслах ажилчин
Цайны газар угаагч,"1,500,000 ₮",хувь хүн,2024-11-08 11:43,120 мянгат,"Pесторан, кафе, паб"
Бэлтгэгч,"80,000 ₮",хувь хүн,2024-11-08 11:43,Marshall town,"Pесторан, кафе, паб"
Зөөгч,"1,540,000 ₮",хувь хүн,2024-11-08 11:41,25-р эмийн сан,"Pесторан, кафе, паб"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-08 11:41,Сансар,"Аялал жуулчлал, зочид буудал"
Үйлчлэгч,"70,000 ₮",хувь хүн,2024-11-08 11:38,Модны 2,Үйлчилгээ
Порцын тогооч,"120,000 ₮",хувь хүн,2024-11-08 11:38,Marshall town,"Pесторан, кафе, паб"
Ширхэгийн хоолны тогооч,"120,000 ₮",хувь хүн,2024-11-08 11:35,Marshall town,"Pесторан, кафе, паб"
Зөөгч,"60,000 ₮",хувь хүн,2024-11-08 11:33,Модны 2,"Pесторан, кафе, паб"
Харуул,"70,000 ₮",Клоун Ах ХХК,2024-11-08 11:30,Зүүн 4 зам,Харуул хамгаалалт
Гагнуурчин мэргэжлийн багш,"1,500,000 ₮",хувь хүн,2024-11-08 11:28,4 хороолол,"Боловсрол, шинжлэх ухаан"
Харилцааны менежер,"3,000,000 ₮",хувь хүн,2024-11-08 11:27,Хороо 1,"Банк, санхүү, нябо, нярав"
Худалдааны төлөөлөгч,"2,500,000 ₮",Клоун Ах ХХК,2024-11-08 11:15,Зүүн 4 зам,"Борлуулалт, худалдаа"
Хүнсний дэлгүүрт кассын ажилтан,"87,000 ₮",хувь хүн,2024-11-08 11:03,Хороо 1,"Борлуулалт, худалдаа"
Зөөгч,"1,400,000 ₮",хувь хүн,2024-11-08 11:01,Хороо 6,"Pесторан, кафе, паб"
Өрөө үйлчлэгч,"1,800,000 ₮",хувь хүн,2024-11-08 10:58,Хороо 19,"Аялал жуулчлал, зочид буудал"
Тогооч,"1,600,000 ₮",хувь хүн,2024-11-08 10:56,Хороо 6,"Pесторан, кафе, паб"
Ахлах нябо,"3,000,000 ₮",хувь хүн,2024-11-08 10:51,Хороо 11,"Банк, санхүү, нябо, нярав"
Түгээлтийн ажилтан,"2,000,000 ₮",хувь хүн,2024-11-08 10:51,Хороо 1,"Борлуулалт, худалдаа"
Байрлаж ажиллах гэр бүлийн хүмүүс,"1,800,000 ₮",хувь хүн,2024-11-08 10:47,Нисэх,Үйлдвэрлэл
Сантехникч,"2,000,000 ₮",хувь хүн,2024-11-08 10:44,Хороо 3,"Барилга, дэд бүтэц"
Худалдааны зөвлөх,"1,400,000 ₮",хувь хүн,2024-11-08 10:42,Хороо 4,"Борлуулалт, худалдаа"
Техникийн албаны мэргэжилтэн,"1,600,000 ₮",хувь хүн,2024-11-08 10:41,Яармаг,"Авто үйлчилгээ, засвар"
Хамгаалагч,"1,200,000 ₮",хувь хүн,2024-11-08 10:40,Хороо 1,Харуул хамгаалалт
Ахлах өрөөний үйлчлэгч,"1,900,000 ₮",хувь хүн,2024-11-08 10:39,Хороо 16,"Аялал жуулчлал, зочид буудал"
Үйлдвэрт нарийн боовчин,"1,600,000 ₮",хувь хүн,2024-11-08 10:38,Амгалан,Үйлдвэрлэл
Нийтийн талбайн үйлчлэгч,"1,600,000 ₮",хувь хүн,2024-11-08 10:38,Хороо 16,Үйлчилгээ
Борлуулалтын жолооч,"2,000,000 ₮",хувь хүн,2024-11-08 10:36,Амгалан,"Борлуулалт, худалдаа"
Дэлгүүрт цагийн ажилтан,"1,300,000 ₮",хувь хүн,2024-11-08 10:35,Хороо 12,Ажлын зар
Хүнсний үйлдвэрт цагийн ажилтан,"60,000 ₮",хувь хүн,2024-11-08 10:34,Амгалан,Үйлдвэрлэл
Нярав,"1,500,000 ₮",хувь хүн,2024-11-08 10:34,Амгалан,"Банк, санхүү, нябо, нярав"
Үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-11-08 10:32,Хороо 10,Үйлчилгээ
Сургуульд харуул,"80,000 ₮",хувь хүн,2024-11-08 10:32,Их Монгол хороолол,Харуул хамгаалалт
Барилгын бүтэцийн инженер,"2,500,000 ₮",хувь хүн,2024-11-08 10:29,25-р эмийн сан,"Барилга, дэд бүтэц"
Ресепшин,"80,000 ₮",хувь хүн,2024-11-08 10:24,Модны 2,"Pесторан, кафе, паб"
Дамжлагын түр ажилтан,"1,500,000 ₮",хувь хүн,2024-11-08 10:20,Хороо 20,Ажлын зар
Барилгын туслах,"100,000 ₮",хувь хүн,2024-11-08 10:08,Яармаг,"Барилга, дэд бүтэц"
Мужаан,"150,000 ₮",хувь хүн,2024-11-08 10:07,Яармаг,"Барилга, дэд бүтэц"
Tuslah,"100,000 ₮",хувь хүн,2024-11-08 10:06,Дэнжийн 1000,"Барилга, дэд бүтэц"
Hudaldagch,"1,400 ₮",хувь хүн,2024-11-08 09:59,Сансар,"Борлуулалт, худалдаа"
Нягтлан бодогч,"1,800,000 ₮",хувь хүн,2024-11-08 09:59,15-р хороолол,"Банк, санхүү, нябо, нярав"
Оффис ажилтан,"1,200,000 ₮",хувь хүн,2024-11-08 09:59,15-р хороолол,"Захиргаа, Хүний нөөц"
Тооцооны нягтлан бодогч,"2,300,000 ₮",хувь хүн,2024-11-08 09:55,Хороо 3,"Банк, санхүү, нябо, нярав"
Е ангилалтай жолооч,"1,600,000 ₮",Монгол экспресс ХХК,2024-11-08 09:52,Алтай хотхон,"Тээвэр, гааль, агуулах"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-08 09:50,40 мянгат,Үйлчилгээ
Яармагт үйлчлэгч,"1,400,000 ₮",хувь хүн,2024-11-08 09:50,Яармаг,Үйлчилгээ
Бзд 13-т хүнсний дэлгүүрт ээлжийн худалдагч,"1,980,000 ₮",хувь хүн,2024-11-08 09:43,Шинэ Монгол сургуулийн ойролцоо,"Борлуулалт, худалдаа"
Хүнсний агуулахад ачигч,"1,700,000 ₮",хувь хүн,2024-11-08 09:43,Хороо 3,Туслах ажилчин
Утасны оператор,"1,400,000 ₮",хувь хүн,2024-11-08 09:38,Хороо 3,"МТ, харилцаа холбоо"
13-т сүлжээ дэлгүүрт нягтлан бодогч,"2,500,000 ₮",хувь хүн,2024-11-08 09:37,Шинэ Монгол сургуулийн ойролцоо,"Банк, санхүү, нябо, нярав"
Reception,"116,000 ₮",хувь хүн,2024-11-08 09:35,Хороо 5,"Аялал жуулчлал, зочид буудал"
Гадна талбайн үйлчлэгч,"1,400,000 ₮",Монгол экспресс ХХК,2024-11-08 09:32,Алтай хотхон,Үйлчилгээ
Тв-ийн нягтлан бодогч,"2,500,000 ₮",хувь хүн,2024-11-08 09:27,Бага тойрог,"Банк, санхүү, нябо, нярав"
Ерөнхий менежер/англи хэл/,"3,000,000 ₮",хувь хүн,2024-11-08 09:27,15-р хороолол,"Борлуулалт, худалдаа"
Нягтлан бодогч,"3,500,000 ₮",хувь хүн,2024-11-08 09:27,Хороо 1,"Банк, санхүү, нябо, нярав"
Наадам центр-т салбар хариуцсан худалдааны зөвлөх,"2,000,000 ₮",хувь хүн,2024-11-08 09:27,120 мянгат,"Борлуулалт, худалдаа"
Үйлчлэгч,"1,000,000 ₮",хувь хүн,2024-11-08 09:26,Натур худалдааны төв,Үйлчилгээ
Туслах тогооч,"1,100,000 ₮",Глобал Бридж ХХК,2024-11-08 09:26,Хороо 1,"Pесторан, кафе, паб"
Бартендер,"1,500,000 ₮",хувь хүн,кофе шоп,5-р хороолол,"Pесторан, кафе, паб"
Граж үйлчлэгч,"1,950,000 ₮",хувь хүн,2024-11-08 09:26,Хороо 1,Үйлчилгээ
Цахилгаанчны туслах,"2,400,000 ₮",хувь хүн,2024-11-08 09:17,Хороо 1,"Барилга, дэд бүтэц"
Гагнуурчин,"4,000,000 ₮",Хэт хүч ХХК,2024-11-08 09:15,Хороо 20,Үйлдвэрлэл
Нарийн боовчин,"1,500,000 ₮",хувь хүн,2024-11-08 09:14,Чулуун овоо,"Pесторан, кафе, паб"
Ээжлийн худалдааны зөвлөх,"2,000,000 ₮",хувь хүн,2024-11-08 09:14,120 мянгат,"Борлуулалт, худалдаа"
Агент туслах,"1,000,000 ₮",хувь хүн,2024-11-08 09:02,13-р хороолол,Туслах ажилчин
Худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-08 09:00,13-р хороолол,"Борлуулалт, худалдаа"
Хэрэглэгчийн бараа олгогч,"1,400,000 ₮",хувь хүн,2024-11-08 08:52,Хороо 13,"Борлуулалт, худалдаа"
Сантехник,"1,500,000 ₮",хувь хүн,2024-11-08 08:44,Хороо 14,"Барилга, дэд бүтэц"
Ээлжийн харуул,"1,210,000 ₮",хувь хүн,2024-11-08 08:43,Хороо 14,Харуул хамгаалалт
Талбайн оройн үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-08 08:43,Нарантуул зах,Үйлчилгээ
Хүнсний эрүүл ахуйч,"1,500,000 ₮",хувь хүн,2024-11-08 08:42,Хороо 14,"Pесторан, кафе, паб"
Зохион байгуулагч,"1,200,000 ₮",хувь хүн,2024-11-08 08:42,Хороо 14,"Борлуулалт, худалдаа"
Хүнсний үйлдвэрт үйлчилгээний ажилтан,"1,300,000 ₮",хувь хүн,2024-11-08 08:41,Хороо 14,Үйлдвэрлэл
Харуул,"1,000,000 ₮",хувь хүн,2024-11-08 08:33,Хороо 14,Харуул хамгаалалт
Гагнуурчин,"2,400,000 ₮",хувь хүн,2024-11-08 08:33,5 шар,"Барилга, дэд бүтэц"
Орбитод цахилгаанчин,"1,400,000 ₮",хувь хүн,2024-11-08 08:28,1-р хороолол,"Барилга, дэд бүтэц"
Эзэгтэйн туслах,"888,890 ₮",хувь хүн,2024-11-08 07:15,Хүннү,Үйлчилгээ
Худалдааны зөвлөх,"2,000,000 ₮",хувь хүн,2024-11-08 06:33,Хороо 1,"Борлуулалт, худалдаа"
Маникюр артист,"3,000,000 ₮",хувь хүн,2024-11-08 01:58,40 мянгат,"Гоо сайхан, фитнес, спорт"
Угаагч,"60,000 ₮",хувь хүн,2024-11-08 01:45,13-р хороолол,"Pесторан, кафе, паб"
Нисэхэд барилгын цэвэрлэгээний ажилтан,"70,000 ₮",Сачи Бэхи ХХК,2024-11-08 01:33,Нисэх,Үйлчилгээ
Оройн ээлжийн эмэгтэй зөөгч,"1,800,000 ₮",хувь хүн,2024-11-07 23:37,Хороо 1,"Pесторан, кафе, паб"
Зөөгч,"1,250,000 ₮",хувь хүн,2024-11-07 22:10,Хороо 1,"Pесторан, кафе, паб"
Худалдагч,"2,100,000 ₮",хувь хүн,2024-11-07 21:53,Хороо 6,"Борлуулалт, худалдаа"
Угаагч,"1,800,000 ₮",хувь хүн,2024-11-07 21:38,Хороо 26,"Pесторан, кафе, паб"
Төслийн менежер,"2,000,000 ₮",хувь хүн,2024-11-07 21:16,Хороо 21,Ажлын зар
Ариутгал халдваргүйжүүлэлтийн менежер,"2,000,000 ₮",Баатарван Жаргалтант ХХК,2024-11-07 21:06,Хороо 2,"Эрүүл мэнд, эм зүй"
Resepshion,"4,000,000 ₮",хувь хүн,2024-11-07 21:01,Хороо 1,"Гоо сайхан, фитнес, спорт"
Худалдагч,"2,000,000 ₮",хувь хүн,2024-11-07 20:43,Тэнгис кино театр,"Борлуулалт, худалдаа"
Өглөө цайны тогооч,"2,000,000 ₮",хувь хүн,2024-11-07 20:25,10-р хороолол,"Pесторан, кафе, паб"
Барилгын туслах ажилтан,"100,000 ₮",хувь хүн,2024-11-07 20:18,Үйлдвэрийн баруун бүс,"Барилга, дэд бүтэц"
Эзэгтэйн туслах,"1,800,000 ₮",хувь хүн,2024-11-07 19:51,Удирдлагын Академи,Үйлчилгээ
Зөөгч,"1,400,000 ₮",хувь хүн,2024-11-07 19:41,4 хороолол,"Pесторан, кафе, паб"
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-07 18:45,Хороо 1,Үйлчилгээ
Тавилгын үйлдвэрт угсрагч түгээлтийн ажилтан,"1,600,000 ₮",хувь хүн,2024-11-07 18:42,Улиастай,Үйлдвэрлэл
Хятад хэлний орчуулагч /төслийн ажилтан/,"2,500,000 ₮",хувь хүн,2024-11-07 18:41,Дөлгөөн нуур,"Захиргаа, Хүний нөөц"
Худалдааны зөвлөх,"1,600,000 ₮",хувь хүн,2024-11-07 18:12,4 хороолол,"Борлуулалт, худалдаа"
Туслах тогооч,"2,000,000 ₮",хувь хүн,2024-11-07 18:10,Зайсан,"Pесторан, кафе, паб"
Хувцас хүлээн авагч,"1,500,000 ₮",хувь хүн,2024-11-07 18:03,Хороо 10,Үйлчилгээ
Зочид буудалд үйлчлэгч,"1,800,000 ₮",хувь хүн,2024-11-07 18:00,Хороо 15,"Аялал жуулчлал, зочид буудал"
Түгээгч жолооч,"3,000,000 ₮",Еден ХХК,2024-11-07 17:49,Хороо 20,"Борлуулалт, худалдаа"
Бараа өрөлт хураалт,"1,600,000 ₮",хувь хүн,2024-11-07 17:48,13-р хороолол,"Борлуулалт, худалдаа"
Шуурхай бүлгийн жолооч,"150,000 ₮",Их хар сүлд ХХК,2024-11-07 17:27,Хороо 4,"Тээвэр, гааль, агуулах"
Агуулахын ачигч,"1,900,000 ₮",хувь хүн,2024-11-07 17:23,Офицер,Туслах ажилчин
Хүүхдийн тоглоомын худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-07 17:18,Яармаг,"Борлуулалт, худалдаа"
Бэлтгэгч,"1,500,000 ₮",хувь хүн,2024-11-07 17:09,5 шар,"Pесторан, кафе, паб"
Барилгын компанид ня-бо,"2,500,000 ₮",хувь хүн,2024-11-07 17:06,Хороо 1,"Банк, санхүү, нябо, нярав"
Нягтлан /эм/,"4,000,000 ₮",хувь хүн,2024-11-07 16:53,120 мянгат,"Банк, санхүү, нябо, нярав"
Үхх-ийн борлуулагч,"2,300,000 ₮",хувь хүн,2024-11-07 16:52,Зайсан,"Борлуулалт, худалдаа"
Тооцооны нягтлан бодогч,"1,750,000 ₮",хувь хүн,2024-11-07 16:46,Хороо 20,"Банк, санхүү, нябо, нярав"
Үйлчлэгч,"1,750,000 ₮",хувь хүн,2024-11-07 16:36,Хороо 26,Үйлчилгээ
Хүүхдийн хувцасны худалдагч,"1,500,000 ₮",хувь хүн,2024-11-07 16:31,Хороо 9,"Борлуулалт, худалдаа"
Тогооч,"1,800,000 ₮",хувь хүн,2024-11-07 16:30,Сонсголон,"Pесторан, кафе, паб"
Ебс-д үйлчлэгч,"900,000 ₮",хувь хүн,2024-11-07 16:17,Хороо 36,Үйлчилгээ
Авто ачилтын компанид харуул,"80,000 ₮",хувь хүн,2024-11-07 16:09,Хороо 5,Харуул хамгаалалт
Хамгаалагч,"120,000 ₮",хувь хүн,2024-11-07 16:09,1-р хороолол,Харуул хамгаалалт
Бичиг хэргийн ажилтан,"2,300,000 ₮",хувь хүн,2024-11-07 16:02,Хороо 20,"Захиргаа, Хүний нөөц"
Бэлтгэгч тогооч,"5,500 ₮",хувь хүн,2024-11-07 16:00,Тэнгис кино театр,Ажлын зар
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-07 15:56,River Garden,Үйлчилгээ
Зөөгч,"1,600,000 ₮",хувь хүн,2024-11-07 15:54,Нархан хотхон,"Pесторан, кафе, паб"
Барилгын харуул,"70,000 ₮",хувь хүн,2024-11-07 15:53,Улаанбаатар их сургууль,Харуул хамгаалалт
Жор баригч,"2,100,000 ₮",хувь хүн,2024-11-07 15:52,10-р хороолол,"Эрүүл мэнд, эм зүй"
Худалдагч,"1,500,000 ₮",хувь хүн,2024-11-07 15:30,16-р хороолол,"Борлуулалт, худалдаа"
Хүнсний үйлдвэрт дамжлагын ажилтан /эрэгтэй/,"2,100,000 ₮",ГРИЙН ТРЕЙД ХХК,2024-11-07 15:20,5 шар,Үйлдвэрлэл
Ачигч,"2,200,000 ₮",хувь хүн,2024-11-07 15:18,100 айл,Туслах ажилчин
Худалдааны зөвлөх,"1,400,000 ₮",хувь хүн,2024-11-07 15:16,Зайсан,"Борлуулалт, худалдаа"
Uulzbar barmen,"1,500,000 ₮",хувь хүн,2024-11-07 15:16,Хороо 1,"Pесторан, кафе, паб"
Ногоо даршлах цехэд ажилтан,"1,700,000 ₮",хувь хүн,2024-11-07 15:07,Офицер,Үйлдвэрлэл
Reception,"150,000 ₮",хувь хүн,2024-11-07 15:07,Хороо 8,"Аялал жуулчлал, зочид буудал"
Брэнд хувцасны дэлгүүрт болон номадика брэндийн салбар дэлгүүрт худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-07 15:06,4 хороолол,"Борлуулалт, худалдаа"
Сувилагч,"1,800,000 ₮",хувь хүн,2024-11-07 14:57,25-р эмийн сан,"Эрүүл мэнд, эм зүй"
Агуулахад туслах ажилтан,"1,500,000 ₮",хувь хүн,2024-11-07 14:55,100 айл,Туслах ажилчин
Агуулахын туслах нярав,"1,800,000 ₮",хувь хүн,2024-11-07 14:54,Хороо 22,"Банк, санхүү, нябо, нярав"
Зөөгч,"1,300,000 ₮",хувь хүн,2024-11-07 14:54,Хороо 1,"Pесторан, кафе, паб"
Ажилтнуудын хоолны тогооч,"2,000,000 ₮",хувь хүн,2024-11-07 14:53,Яармаг,"Pесторан, кафе, паб"
Хамгаалагч,"110,000 ₮",хувь хүн,2024-11-07 14:52,Сүхбаатарын талбай,Харуул хамгаалалт
Борлуулалтын ажилтан,"1,600,000 ₮",хувь хүн,2024-11-07 14:51,Хороо 11,"Борлуулалт, худалдаа"
Автын засварын туслах,"3,000,000 ₮",хувь хүн,2024-11-07 14:40,120 мянгат,"Авто үйлчилгээ, засвар"
Уламжлалт эмийн үйлдвэрт эмэгтэй савалгааны ажилтан,"1,500,000 ₮",хувь хүн,2024-11-07 14:28,Хороо 2,Үйлдвэрлэл
Худалдааны төлөөлөгч,"3,000,000 ₮",хувь хүн,2024-11-07 14:27,19-р хороолол,"Борлуулалт, худалдаа"
Ээлжийн тогооч,"1,950,000 ₮",хувь хүн,2024-11-07 14:06,Хороо 1,"Pесторан, кафе, паб"
Угаагч,"1,600,000 ₮",хувь хүн,2024-11-07 14:04,Хороо 1,"Pесторан, кафе, паб"
Тогооч,"1,800,000 ₮",SBT ХХК,2024-11-07 13:59,Өмнөговь,"Pесторан, кафе, паб"
Ресторанд угаагч,"2,000,000 ₮",хувь хүн,2024-11-07 13:58,Хороо 8,"Pесторан, кафе, паб"
Ресторанд бэлтгэгч,"2,000,000 ₮",хувь хүн,2024-11-07 13:58,Хороо 8,"Pесторан, кафе, паб"
Хүнсний барааны түгээлтийн жолооч,"2,000,000 ₮",хувь хүн,2024-11-07 13:53,Хороо 4,"Борлуулалт, худалдаа"
Сэлбэгийн ажилтан,"1,800,000 ₮",хувь хүн,2024-11-07 13:49,Гандан,"Авто үйлчилгээ, засвар"
касс,"2,000,000 ₮",хувь хүн,2024-11-07 13:49,Эх нялхас эмнэлэг,"Борлуулалт, худалдаа"
Мөнгөн зөөврийн ажилтан,"1,800,000 ₮",хувь хүн,2024-11-07 13:43,Улаанхуаран,"Тээвэр, гааль, агуулах"
Дуудлага хүлээн авах эмэгтэй оператор,"1,200,000 ₮",хувь хүн,2024-11-07 13:30,100 айл,"МТ, харилцаа холбоо"
Цахилгааны инженер,"3,000,000 ₮",Ньюком Проперти ХХК,2024-11-07 13:29,МУБИС,"Барилга, дэд бүтэц"
Уб хотод сүлжээ дэлгүүрт үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-07 13:24,120 мянгат,Үйлчилгээ
Бүртгэлийн ажилтан-нярав,"1,800,000 ₮",хувь хүн,2024-11-07 13:23,13-р хороолол,"Банк, санхүү, нябо, нярав"
Худалдааны зөвлөх /эмэгтэй/,"2,500,000 ₮",хувь хүн,2024-11-07 13:17,120 мянгат,"Борлуулалт, худалдаа"
Нярав /эмэгтэй/,"3,000,000 ₮",хувь хүн,2024-11-07 13:16,120 мянгат,"Банк, санхүү, нябо, нярав"
Хархорин захын хажууд эмэгтэй бэлэн хувцасны дэлгүүрт худалдааны зөвлөх,"1,800,000 ₮",хувь хүн,2024-11-07 13:14,Хороо 20,"Борлуулалт, худалдаа"
Агуулахын нярав,"2,100,000 ₮",хувь хүн,2024-11-07 13:10,4 хороолол,"Банк, санхүү, нябо, нярав"
Саалийн фермд гэр бүлийн малчин,"3,000,000 ₮",хувь хүн,2024-11-07 13:09,Төв,Ажлын зар
Өлгүүрчин,"1,500,000 ₮",хувь хүн,2024-11-07 13:07,Хороо 15,Үйлчилгээ
Банкны үйлчилгээнд явах d ангилалтай жолооч,"1,500,000 ₮",хувь хүн,2024-11-07 13:03,5-р хороолол,"Тээвэр, гааль, агуулах"
Туслах тогооч,"2,000,000 ₮",хувь хүн,2024-11-07 12:45,Зайсан,"Pесторан, кафе, паб"
Ахлах тогооч,"3,000,000 ₮",хувь хүн,2024-11-07 12:45,Хороо 1,"Pесторан, кафе, паб"
Эмийн компанид бэлтгэгч туслах /эрэгтэй/,"1,300,000 ₮",хувь хүн,2024-11-07 12:37,Баянхошуу,Туслах ажилчин
Худалдааны зөвлөх,"1,200,000 ₮",ГРИЙН АМИГО ХХК,2024-11-07 12:33,Хороо 4,"Борлуулалт, худалдаа"
Байгууллагын үйлчилгээний ажилтан,"1,600,000 ₮",хувь хүн,2024-11-07 12:31,Хүннү,Үйлчилгээ
Эм савлах туслах ажилтан,"1,200,000 ₮",хувь хүн,2024-11-07 12:19,Бөмбөгөр,Туслах ажилчин
Усны аппаратны шүүлтүүр суурилуулагч,"2,100,000 ₮",Aqua electonics ХХК,2024-11-07 12:18,Чулуун овоо,"Борлуулалт, худалдаа"
Наадам клубт үйлчилгээний ажилтан,"1,100,000 ₮",хувь хүн,2024-11-07 12:18,Хүннү,"Гоо сайхан, фитнес, спорт"
Худалдааны төлөөлөгч,"2,100,000 ₮",хувь хүн,2024-11-07 12:17,Хороо 16,"Борлуулалт, худалдаа"
"Борлуулалт, мэдээллийн ажилтан","1,800,000 ₮",хувь хүн,2024-11-07 12:15,Хороо 1,"МТ, харилцаа холбоо"
40-55насны аюулгүй байдлын ажилтан,"100,000 ₮",хувь хүн,2024-11-07 12:14,13-р хороолол,Харуул хамгаалалт
"Бгд 3,4-р хорооллын эцэст буудалд үйлчлэгч","80,000 ₮",хувь хүн,2024-11-07 12:09,Хороо 1,"Аялал жуулчлал, зочид буудал"
Бараа өрөлт хийх ажилтан,"2,000,000 ₮",хувь хүн,2024-11-07 12:02,Хороо 1,"Борлуулалт, худалдаа"
Савлагааны ажилтан /эмэгтэй/,"2,000,000 ₮",хувь хүн,2024-11-07 11:59,19-р хороолол,Үйлдвэрлэл
Үйлчлэгч,"1,360,000 ₮",хувь хүн,2024-11-07 11:59,Яармаг,Үйлчилгээ
Агуулахын туслах,"2,000,000 ₮",хувь хүн,2024-11-07 11:59,19-р хороолол,"Тээвэр, гааль, агуулах"
Түгээлтийн туслах,"2,000,000 ₮",хувь хүн,2024-11-07 11:59,19-р хороолол,"Борлуулалт, худалдаа"
Гадаад харилцааны менежер,"2,500,000 ₮",хувь хүн,2024-11-07 11:51,Хороо 1,"Борлуулалт, худалдаа"
Үйлчилгээний жолооч,"2,100,000 ₮",Витафит милк ХХК,2024-11-07 11:44,Хороо 3,"Борлуулалт, худалдаа"
Машинист,"2,000,000 ₮",ГРИЙН ТРЕЙД ХХК,2024-11-07 11:42,5 шар,Үйлдвэрлэл
Хяналтын оператор,"2,000,000 ₮",хувь хүн,2024-11-07 11:39,Хороо 16,Харуул хамгаалалт
Өдрийн 8 цагийн угтагч /эмэгтэй/,"1,750,000 ₮",хувь хүн,2024-11-07 11:38,Баруун 4 зам,"Аялал жуулчлал, зочид буудал"
Хувьдаа машинтай хүргэлтийн жолооч,"3,500,000 ₮",хувь хүн,2024-11-07 11:38,13-р хороолол,"Борлуулалт, худалдаа"
Тогооч,"1,600,000 ₮",хувь хүн,2024-11-07 11:38,Хороо 4,"Pесторан, кафе, паб"
Шуурхай бүлгийн хамгаалалтын жолооч,"160,000 ₮",хувь хүн,2024-11-07 11:38,Хороо 16,"Тээвэр, гааль, агуулах"
Гал тогоонд туслах,"1,500,000 ₮",хувь хүн,2024-11-07 11:37,Хороо 2,"Pесторан, кафе, паб"
Зөөгч,"65,000 ₮",хувь хүн,2024-11-07 11:30,Богд-Ар,"Pесторан, кафе, паб"
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-07 11:28,Офицер,Үйлчилгээ
Бараа материалын нярав,"2,000,000 ₮",Хэв хашмал ХХК,2024-11-07 11:22,Амгалан,"Банк, санхүү, нябо, нярав"
Борлуулалтын ажилтан,"1,600,000 ₮",Хэв хашмал ХХК,2024-11-07 11:21,Амгалан,"Борлуулалт, худалдаа"
Тооцооны нягтлан бодогч,"1,700,000 ₮",Хэв хашмал ХХК,2024-11-07 11:21,Амгалан,"Банк, санхүү, нябо, нярав"
Тэнгэр плаза агуулахын нярав,"1,800,000 ₮",хувь хүн,2024-11-07 11:10,Офицер,"Банк, санхүү, нябо, нярав"
Спиннинг ресепшин,"1,200,000 ₮",хувь хүн,2024-11-07 11:07,Алтай хотхон,"Захиргаа, Хүний нөөц"
Өмнөговь аймгийн замын ажилд туслах ажилтан,"2,000,000 ₮",хувь хүн,2024-11-07 11:04,Өмнөговь,"Барилга, дэд бүтэц"
24/48 ээлжийн засварчин,"2,500,000 ₮",Хүрээ Хаус ХХК,2024-11-07 10:56,13-р хороолол,"Барилга, дэд бүтэц"
Тогооч,"2,000,000 ₮",хувь хүн,2024-11-07 10:55,Хороо 3,"Pесторан, кафе, паб"
Сантехникч,"1,800,000 ₮",Гялалзахын Хөндий ХХК,2024-11-07 10:55,Хороо 6,"Барилга, дэд бүтэц"
Аж ахуйн ажилтан,"1,500,000 ₮",хувь хүн,2024-11-07 10:52,Хороо 3,Үйлчилгээ
Өм-гурван тэс сум кемп хаб /эрэгтэй/,"3,000,000 ₮",хувь хүн,2024-11-07 10:51,Өмнөговь,Уул уурхай
Кассын ажилтан,"2,100,000 ₮",хувь хүн,2024-11-07 10:51,Хороо 16,"Борлуулалт, худалдаа"
Бараа материалын нягтлан,"2,000,000 ₮",ГРИЙН АМИГО ХХК,2024-11-07 10:43,Хороо 1,"Банк, санхүү, нябо, нярав"
